username,activity_name,category,duration_hours,keyword,rating
demo,Uetliberg Sunrise Hike,Outdoor & Nature,3.0,hike,5
demo,Lake Zurich Boat Trip,Outdoor & Nature,2.0,boat,4
demo,Zurich Botanical Garden,Outdoor & Nature,1.5,garden,4
demo,Greifensee Lakeside Walk,Outdoor & Nature,2.5,walk,5
demo,Limmat River Kayak,Outdoor & Nature,2.0,kayak,4
demo,Albisgütli Forest Walk,Outdoor & Nature,1.5,walk,3
demo,Old Town Walking Tour,Culture & History,2.0,tour,4
demo,Kunsthaus Museum,Culture & History,2.5,museum,3
demo,Swiss National Museum,Culture & History,2.0,museum,3
demo,Fraumünster Stained-Glass Tour,Culture & History,1.0,tour,4
demo,Grossmünster Tower Climb,Culture & History,1.0,other,4
demo,Cabaret Voltaire & Dada Tour,Culture & History,1.5,tour,2
demo,Fondue Dinner at Zeughauskeller,Food & Drink,2.0,dinner,5
demo,Lindt Home of Chocolate,Food & Drink,1.5,other,5
demo,Street Food Market at Hardturm,Food & Drink,1.5,market,4
demo,Hürlimann Brewery & Beer Tasting,Food & Drink,2.0,tasting,4
demo,Zurich Old Town Food Tour,Food & Drink,2.5,tour,5
demo,Bürkliplatz Flea Market,Food & Drink,2.0,market,3
demo,Langstrasse Bar & Club Night,Nightlife & Entertainment,4.0,bar,4
demo,Kreis 5 Gallery & Bar Hop,Nightlife & Entertainment,3.0,bar,3
demo,Thermalbad & Spa,Relaxation & Wellness,3.0,spa,5
demo,Dolder Ice Rink,Adventure & Sports,2.0,other,4
demo,City Bike Tour,Adventure & Sports,3.0,bike,5
demo,Zurich Zoo,Outdoor & Nature,3.0,zoo,4
demo,WOW Museum,Culture & History,1.5,museum,3
demo,FIFA World Football Museum,Culture & History,2.0,museum,3
demo,Museum Rietberg,Culture & History,2.0,museum,2
demo,Lake Zurich Swimming at Strandbad,Outdoor & Nature,2.5,swimming,5
demo,Käferberg Vineyard Stroll,Outdoor & Nature,1.5,walk,3
demo,Zurich Rooftop Urban Hike,Outdoor & Nature,2.0,hike,4
gustav,Uetliberg Sunrise Hike,Outdoor & Nature,3.0,hike,5
gustav,Kunsthaus Museum,Culture & History,2.5,museum,1
gustav,Thermalbad & Spa,Relaxation & Wellness,3.0,spa,5
gustav,Fondue Dinner at Zeughauskeller,Food & Drink,2.0,dinner,4
gustav,City Bike Tour,Adventure & Sports,3.0,bike,5
